date,Open,High,Low,Close,Volume,Dividends,Stock Splits,return,log_return,price,log_volume,RF,bond_ret,term_spread,credit_spread,T10YIE,sp500_pe,CDL2CROWS,CDL3BLACKCROWS,CDL3OUTSIDE,CDL3STARSINSOUTH,CDL3WHITESOLDIERS,CDLABANDONEDBABY,CDLADVANCEBLOCK,CDLBELTHOLD,CDLBREAKAWAY,CDLCLOSINGMARUBOZU,CDLCONCEALBABYSWALL,CDLCOUNTERATTACK,CDLDARKCLOUDCOVER,CDLDOJI,CDLDOJISTAR,CDLDRAGONFLYDOJI,CDLENGULFING,CDLEVENINGDOJISTAR,CDLEVENINGSTAR,CDLGAPSIDESIDEWHITE,CDLGRAVESTONEDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLHARAMICROSS,CDLHIGHWAVE,CDLHIKKAKE,CDLHIKKAKEMOD,CDLHOMINGPIGEON,CDLIDENTICAL3CROWS,CDLINNECK,CDLINVERTEDHAMMER,CDLKICKING,CDLKICKINGBYLENGTH,CDLLADDERBOTTOM,CDLLONGLEGGEDDOJI,CDLLONGLINE,CDLMARUBOZU,CDLMATCHINGLOW,CDLMATHOLD,CDLMORNINGDOJISTAR,CDLMORNINGSTAR,CDLONNECK,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSHOOTINGSTAR,CDLSPINNINGTOP,CDLSTALLEDPATTERN,CDLSTICKSANDWICH,CDLTAKURI,CDLTASUKIGAP,CDLTHRUSTING,CDLTRISTAR,CDLUNIQUE3RIVER,CDLUPSIDEGAP2CROWS,CDLXSIDEGAP3METHODS
2014-10-15,400.9549865722656,402.22698974609375,388.7659912109375,394.7730102539063,25267100,0.0,0.0,-0.015209381938149,-0.0153262309019409,394.7730102539063,17.045013712193203,0.0,26.115,2.13,2.39,1.86,20.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-16,394.51800537109375,398.8070068359375,373.0700073242188,382.5559997558594,26990000,0.0,0.0,-0.0309469243862169,-0.031435894996154,382.5559997558594,17.11097698499419,0.0,26.0121,2.14,2.39,1.89,20.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-17,382.7560119628906,385.4779968261719,375.3890075683594,383.7579956054688,13600700,0.0,0.0,0.0031420128043384,0.0031370869973757,383.7579956054688,16.42563181996995,0.0,25.9747,2.2,2.39,1.92,20.08,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,100,0,0,0,0,0,0
2014-10-20,389.2309875488281,390.0840148925781,378.25201416015625,382.8450012207031,16419000,0.0,0.0,-0.0172020478755261,-0.0173517220527155,382.8450012207031,16.613949758794163,0.0,26.0068,2.18,2.39,1.91,20.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-21,382.4209899902344,392.64599609375,380.8340148925781,386.4750061035156,14188900,0.0,0.0,0.0094816567311528,0.0094369879579728,386.4750061035156,16.467970526751596,0.0,25.988000000000003,2.21,2.39,1.9,20.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-22,386.1180114746094,388.5759887695313,382.2489929199219,383.1579895019531,11641300,0.0,0.0,-0.0085827454535936,-0.0086197893243934,383.1579895019531,16.270069677880187,0.0,25.9608,2.23,2.39,1.91,20.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-23,382.9620056152344,385.0480041503906,356.4469909667969,358.4169921875,26456900,0.0,0.0,-0.0645712682296215,-0.0667503181364442,358.4169921875,17.09102755181325,0.0,25.887600000000003,2.28,2.39,1.91,20.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-24,358.59100341796875,364.3450012207031,353.30499267578125,358.3450012207031,15585700,0.0,0.0,-0.0002008581299606,-0.0002008783046563,358.3450012207031,16.561864385157282,0.0,25.885900000000003,2.28,2.39,1.9,20.08,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,100,0,0,0,-100,0,0,0,0,0,0,0,0,0
2014-10-27,354.7770080566406,358.6319885253906,349.8089904785156,352.989013671875,13033000,0.0,0.0,-0.0048350069057392,-0.0048467333652392,352.989013671875,16.382995160512856,0.0,25.9166,2.25,2.39,1.89,20.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2014-10-28,353.2149963378906,359.9840087890625,352.6789855957031,357.6180114746094,7845880,0.0,0.0,0.0131137163578618,0.0130284759828443,357.6180114746094,15.875499111217136,0.0,25.8788,2.28,2.39,1.91,20.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0
